Standardized Precipitation Index - SPI: Campinas in the period from 01/01/1947 to 05/01/2011;;;;;;
Period;1 month;3 months;6 months;9 months;12 months;24 months
;;;;;;
year 1947;;;;;;
January;1.36;0.33;0.06;0.09;-0.29;0.33
February;1.39;0.90;0.80;0.77;0.29;0.62
March;0.57;1.43;0.87;0.88;0.58;0.62
April;-1.77;0.83;0.65;0.47;0.45;0.55
May;-0.08;-0.23;0.59;0.52;0.52;0.60
June;-0.18;-1.10;0.89;0.48;0.49;0.25
July;0.61;-0.17;0.55;0.50;0.34;0.30
August;1.16;0.61;0.07;0.63;0.57;0.45
September;0.65;0.94;0.00;1.08;0.66;0.55
October;-0.59;0.34;0.05;0.54;0.51;0.44
November;1.14;0.57;0.66;0.31;0.70;0.43
December;0.59;0.63;0.87;0.37;1.02;0.55
year 1948;;;;;;
January;-0.09;0.67;0.68;0.49;0.71;0.26
February;0.71;0.50;0.69;0.74;0.52;0.48
March;1.58;0.92;1.03;1.23;0.87;0.88
April;-1.72;0.98;0.96;1.01;0.84;0.81
May;0.09;0.75;0.66;0.82;0.85;0.86
June;-1.25;-1.48;0.37;0.57;0.77;0.79
July;1.03;-0.16;0.68;0.79;0.84;0.73
August;-0.52;-0.49;0.36;0.49;0.65;0.75
September;-1.25;-0.41;-1.37;0.16;0.39;0.65
October;-0.67;-1.46;-1.25;0.05;0.36;0.56
November;-1.39;-1.92;-1.81;-0.68;-0.09;0.40
December;-0.93;-1.83;-1.69;-2.07;-0.52;0.38
year 1949;;;;;;
January;-0.38;-1.35;-2.02;-1.84;-0.70;0.01
February;0.56;-0.39;-1.39;-1.42;-0.87;-0.21
March;-1.16;-0.34;-1.30;-1.47;-1.86;-0.47
April;0.75;0.02;-0.87;-1.45;-1.42;-0.27
May;-0.90;-0.86;-0.68;-1.50;-1.51;-0.32
June;0.26;-0.04;-0.33;-1.17;-1.32;-0.28
July;-1.04;-0.93;-0.37;-1.06;-1.60;-0.37
August;-1.00;-1.01;-1.12;-0.85;-1.64;-0.53
September;-1.58;-2.75;-1.13;-0.84;-1.55;-0.70
October;-0.63;-1.72;-2.00;-1.03;-1.46;-0.70
November;-0.24;-1.20;-1.49;-1.62;-1.18;-0.92
December;1.60;0.90;0.12;0.02;-0.20;-0.61
year 1950;;;;;;
January;-0.05;0.91;0.16;-0.18;-0.16;-0.62
February;1.35;1.40;0.86;0.54;0.14;-0.47
March;-0.11;0.56;0.89;0.44;0.34;-0.86
April;1.16;1.09;1.18;0.71;0.42;-0.59
May;-0.39;0.15;1.12;0.70;0.45;-0.62
June;0.15;0.35;0.53;0.83;0.44;-0.52
July;0.30;-0.32;0.72;0.96;0.53;-0.60
August;-1.00;-0.53;-0.14;0.91;0.52;-0.62
September;-1.08;-1.17;-0.43;0.18;0.53;-0.59
October;0.04;-0.94;-1.03;0.23;0.61;-0.50
November;0.88;0.06;-0.24;-0.15;0.79;-0.20
December;-0.73;-0.20;-0.62;-0.42;0.04;-0.19
year 1951;;;;;;
January;1.30;0.64;0.11;-0.06;0.47;0.18
February;0.10;0.31;0.24;0.05;0.05;0.08
March;1.06;1.03;0.71;0.37;0.40;0.44
April;-0.27;0.47;0.65;0.30;0.14;0.33
May;-1.48;0.19;0.27;0.22;0.07;0.31
June;-0.44;-1.31;0.50;0.30;0.00;0.26
July;-1.04;-1.87;-0.18;0.25;-0.09;0.26
August;0.31;-0.80;-0.19;0.08;0.03;0.33
September;-1.61;-1.16;-1.80;0.15;0.01;0.32
October;-0.68;-1.15;-2.06;-0.68;-0.11;0.32
November;0.90;-0.36;-0.70;-0.43;-0.09;0.47
December;-2.29;-1.36;-1.58;-1.92;-0.37;-0.31
year 1952;;;;;;
January;-0.25;-0.89;-1.45;-1.85;-1.03;-0.36
February;0.62;-0.77;-1.03;-1.17;-0.96;-0.59
March;0.52;0.31;-0.47;-0.82;-1.19;-0.46
April;-0.28;0.46;-0.32;-0.78;-1.14;-0.63
May;-1.24;-0.27;-0.74;-0.97;-1.09;-0.66
June;1.64;0.37;0.34;-0.32;-0.63;-0.43
July;-0.35;0.45;0.49;-0.20;-0.61;-0.47
August;-0.75;0.78;0.13;-0.48;-0.72;-0.46
September;-0.19;-0.81;-0.26;0.05;-0.54;-0.38
October;0.51;-0.13;0.08;0.29;-0.27;-0.31
November;-0.36;-0.15;0.20;-0.06;-0.52;-0.48
December;-0.65;-0.56;-0.81;-0.55;-0.18;-0.48
year 1953;;;;;;
January;-0.94;-1.13;-1.15;-0.86;-0.40;-1.01
February;-0.85;-1.22;-1.31;-0.93;-0.96;-1.26
March;-0.28;-1.03;-1.15;-1.43;-1.23;-1.55
April;0.78;-0.47;-1.06;-1.17;-0.97;-1.38
May;0.31;0.11;-0.88;-1.01;-0.74;-1.22
June;-0.86;0.08;-0.81;-1.00;-1.25;-1.24
July;-0.20;-0.55;-0.67;-1.14;-1.26;-1.22
August;-0.09;-1.11;-0.35;-1.05;-1.19;-1.25
September;0.04;-0.30;-0.25;-0.95;-1.07;-1.09
October;1.03;0.53;0.03;-0.34;-0.86;-0.81
November;-0.42;0.28;-0.22;-0.17;-0.82;-1.00
December;-1.10;-0.51;-0.58;-0.51;-0.90;-0.86
year 1954;;;;;;
January;-0.36;-1.08;-0.70;-0.85;-0.88;-0.91
February;0.38;-0.55;-0.45;-0.69;-0.60;-1.03
March;-0.06;-0.09;-0.39;-0.55;-0.55;-1.13
April;-0.71;-0.09;-0.79;-0.62;-0.76;-1.14
May;1.40;0.38;-0.27;-0.23;-0.43;-0.80
June;0.13;0.58;0.11;-0.18;-0.33;-1.03
July;-0.30;0.80;0.25;-0.47;-0.34;-1.03
August;-1.00;-0.92;-0.07;-0.45;-0.42;-1.04
September;-2.02;-2.31;-0.47;-0.36;-0.56;-1.10
October;0.70;-0.49;0.10;-0.06;-0.62;-1.07
November;-1.58;-0.99;-1.28;-0.67;-0.76;-1.18
December;0.36;-0.12;-0.73;-0.39;-0.32;-0.97
year 1955;;;;;;
January;1.15;0.36;0.02;0.27;0.11;-0.54
February;-0.87;0.36;-0.20;-0.43;-0.25;-0.58
March;0.95;0.59;0.37;-0.08;0.06;-0.32
April;0.49;0.13;0.27;0.03;0.22;-0.35
May;0.20;0.75;0.56;0.14;-0.07;-0.36
June;-0.04;0.09;0.47;0.31;-0.09;-0.30
July;-0.11;-0.24;-0.05;0.14;-0.08;-0.30
August;1.55;0.67;0.79;0.62;0.25;-0.13
September;-2.11;0.05;-0.03;0.38;0.24;-0.23
October;-0.33;-0.18;-0.40;-0.20;0.03;-0.45
November;-0.66;-1.36;-0.70;-0.07;0.15;-0.46
December;0.90;0.16;0.08;0.04;0.33;-0.05
year 1956;;;;;;
January;-2.31;-0.74;-0.84;-0.88;-0.59;-0.36
February;0.00;-0.41;-1.17;-0.86;-0.43;-0.47
March;-0.17;-1.18;-0.80;-0.84;-0.81;-0.48
April;-0.18;-0.29;-0.69;-0.84;-0.89;-0.43
May;1.20;0.32;-0.21;-0.81;-0.59;-0.46
June;0.67;0.82;-0.56;-0.42;-0.47;-0.39
July;1.02;1.29;0.39;-0.19;-0.33;-0.29
August;1.10;1.23;0.76;0.11;-0.42;-0.13
September;0.53;1.00;1.10;-0.19;-0.12;0.04
October;-0.73;0.16;0.88;0.33;-0.17;-0.14
November;-1.83;-1.22;-0.23;-0.04;-0.30;-0.16
December;-0.25;-1.48;-0.52;-0.10;-0.69;-0.31
year 1957;;;;;;
January;1.76;0.39;0.34;0.76;0.41;-0.15
February;0.82;1.04;0.45;0.73;0.71;0.17
March;0.29;1.28;0.39;0.65;0.82;0.04
April;-0.01;0.54;0.52;0.50;0.81;-0.01
May;-0.59;-0.22;0.71;0.24;0.49;-0.07
June;-0.04;-0.61;0.85;0.14;0.38;-0.07
July;1.82;0.52;0.58;0.56;0.55;0.13
August;1.13;1.42;0.53;0.95;0.56;0.08
September;1.22;1.76;0.97;1.39;0.69;0.35
October;0.58;1.27;1.19;1.02;0.88;0.48
November;-0.97;0.42;0.98;0.56;0.92;0.44
December;0.12;-0.20;0.85;0.47;0.98;0.24
year 1958;;;;;;
January;0.97;0.23;0.84;0.85;0.83;0.79
February;0.85;0.80;0.91;1.19;0.92;1.00
March;0.37;0.92;0.61;1.22;0.95;1.08
April;1.69;1.19;0.82;1.24;1.23;1.29
May;1.80;1.77;1.36;1.48;1.64;1.38
June;0.94;2.17;1.58;1.31;1.77;1.41
July;0.42;1.68;1.64;1.21;1.60;1.37
August;-0.80;0.34;1.46;1.27;1.41;1.24
September;1.00;0.47;1.79;1.58;1.28;1.27
October;0.39;0.48;1.38;1.54;1.19;1.39
November;-0.32;0.41;0.41;1.32;1.22;1.48
December;-0.60;-0.59;-0.25;0.90;1.02;1.43
year 1959;;;;;;
January;0.36;-0.35;-0.13;0.59;0.97;1.17
February;-1.08;-0.61;-0.43;-0.33;0.55;0.90
March;0.59;-0.06;-0.41;-0.31;0.61;0.95
April;1.24;0.13;-0.20;-0.08;0.48;1.08
May;-0.45;0.64;-0.19;-0.09;-0.04;1.07
June;-0.93;0.03;-0.08;-0.39;-0.30;1.02
July;-1.04;-1.57;-0.44;-0.53;-0.42;0.82
August;1.23;-0.17;0.38;-0.24;-0.15;0.83
September;-0.83;-0.13;-0.18;-0.20;-0.46;0.58
October;0.33;0.24;-0.61;-0.31;-0.44;0.55
November;-0.32;-0.47;-0.53;-0.03;-0.41;0.60
December;-0.01;-0.19;-0.26;-0.27;-0.23;0.57
year 1960;;;;;;
January;0.55;0.08;0.11;-0.34;-0.22;0.49
February;1.25;0.75;0.44;0.31;0.48;0.62
March;-1.43;0.45;0.22;0.10;0.04;0.39
April;0.22;0.30;0.18;0.19;-0.16;0.18
May;0.67;-0.53;0.37;0.12;0.03;-0.04
June;0.82;0.68;0.57;0.37;0.26;-0.05
July;-1.04;0.47;0.37;0.25;0.26;-0.12
August;-0.13;0.01;-0.44;0.30;0.07;-0.08
September;-0.62;-1.02;-0.08;0.25;0.09;-0.27
October;-0.08;-0.61;-0.23;0.01;0.01;-0.34
November;1.11;0.26;0.14;-0.24;0.31;-0.11
December;0.77;0.93;0.35;0.52;0.53;0.17
year 1961;;;;;;
January;-0.59;0.56;0.16;0.25;0.28;0.00
February;0.07;0.13;0.17;0.11;-0.15;0.18
March;0.38;-0.16;0.38;0.06;0.23;0.14
April;1.21;0.54;0.63;0.37;0.42;0.14
May;0.05;0.63;0.33;0.36;0.30;0.18
June;-0.64;0.29;-0.06;0.37;0.10;0.20
July;-1.04;-0.94;0.07;0.34;0.10;0.20
August;-0.12;-1.34;0.04;0.07;0.10;0.08
September;-2.11;-1.80;-0.66;-0.50;0.02;0.04
October;-1.72;-2.35;-2.42;-0.74;-0.19;-0.17
November;0.00;-1.62;-1.97;-0.86;-0.43;-0.13
December;0.03;-0.79;-1.25;-0.93;-0.68;-0.13
year 1962;;;;;;
January;-1.21;-0.68;-1.64;-1.80;-0.96;-0.47
February;1.29;0.14;-0.69;-0.95;-0.56;-0.48
March;1.88;1.01;0.42;0.01;0.04;0.14
April;-0.80;1.61;0.59;-0.03;-0.28;0.07
May;-0.26;1.04;0.53;-0.07;-0.31;-0.04
June;-0.29;-0.99;0.54;0.09;-0.28;-0.15
July;0.40;-0.46;1.14;0.39;-0.18;-0.08
August;0.77;0.17;0.82;0.48;-0.07;-0.01
September;-0.30;0.15;-0.63;0.48;0.06;0.02
October;1.64;1.15;0.63;1.40;0.69;0.32
November;-0.52;0.61;0.49;0.89;0.58;0.09
December;0.51;0.93;0.71;0.25;0.70;0.00
year 1963;;;;;;
January;0.52;0.32;0.84;0.55;1.17;0.22
February;0.06;0.44;0.65;0.59;0.89;0.22
March;-1.73;-0.26;0.31;0.26;-0.06;-0.04
April;-1.65;-1.18;-0.39;0.06;-0.11;-0.28
May;-1.68;-2.89;-0.43;-0.22;-0.20;-0.37
June;-1.25;-2.37;-0.91;-0.26;-0.28;-0.40
July;-1.04;-2.38;-1.88;-0.83;-0.39;-0.40
August;-0.63;-2.27;-3.33;-0.76;-0.56;-0.42
September;-2.01;-2.43;-4.09;-1.44;-0.64;-0.40
October;1.24;0.13;-1.03;-1.44;-0.75;-0.03
November;0.07;0.27;-0.49;-1.62;-0.59;-0.02
December;-2.17;-0.61;-1.17;-1.91;-1.27;-0.36
year 1964;;;;;;
January;-0.33;-1.31;-1.15;-1.69;-1.82;-0.24
February;1.86;0.07;0.11;-0.31;-1.09;-0.07
March;-0.92;0.55;0.09;-0.38;-0.97;-0.65
April;-0.55;0.75;-0.35;-0.38;-0.83;-0.62
May;0.41;-0.81;-0.29;-0.24;-0.57;-0.53
June;-0.58;-0.51;0.25;-0.10;-0.52;-0.55
July;1.05;0.26;0.64;-0.29;-0.32;-0.49
August;0.01;0.03;-0.62;-0.29;-0.26;-0.55
September;0.67;0.69;0.07;0.39;0.05;-0.41
October;1.40;1.14;0.94;0.99;0.11;-0.47
November;-0.18;0.95;0.72;0.10;0.06;-0.42
December;0.77;1.09;1.07;0.70;0.70;-0.36
year 1965;;;;;;
January;0.97;0.84;1.27;1.13;1.13;-0.27
February;0.97;1.16;1.53;1.35;0.90;-0.07
March;0.20;0.91;1.27;1.37;1.12;0.17
April;-0.74;0.45;0.77;1.14;1.06;0.20
May;0.56;-0.03;0.87;1.19;1.07;0.35
June;-0.01;-0.21;0.64;1.02;1.12;0.42
July;0.99;0.53;0.51;0.79;1.13;0.54
August;-0.67;0.00;-0.08;0.76;1.08;0.53
September;0.45;0.35;-0.02;0.64;0.98;0.67
October;1.56;1.03;1.00;0.84;0.99;0.73
November;0.89;1.46;1.15;0.79;1.12;0.83
December;1.08;1.84;1.50;1.17;1.19;1.35
year 1966;;;;;;
January;-0.81;0.60;1.00;0.99;0.89;1.32
February;-0.41;0.07;0.83;0.71;0.56;0.89
March;0.58;-0.37;0.83;0.83;0.67;1.10
April;-1.45;-0.33;0.20;0.55;0.60;1.05
May;0.13;-0.08;-0.02;0.60;0.51;1.00
June;-1.25;-1.35;-0.75;0.40;0.41;0.97
July;-0.58;-1.02;-0.70;-0.07;0.26;0.87
August;0.26;-1.20;-0.54;-0.25;0.34;0.89
September;0.23;-0.10;-1.04;-0.83;0.29;0.81
October;0.78;0.54;-0.15;-0.36;0.06;0.70
November;-0.01;0.39;-0.15;-0.22;-0.12;0.71
December;0.70;0.74;0.47;-0.05;-0.26;0.69
year 1967;;;;;;
January;0.08;0.38;0.53;0.14;-0.08;0.52
February;0.30;0.45;0.54;0.22;0.11;0.39
March;-0.09;0.06;0.42;0.30;-0.09;0.35
April;-0.60;-0.15;0.14;0.27;-0.02;0.35
May;-0.27;-0.62;0.09;0.17;-0.07;0.26
June;1.23;0.17;0.06;0.37;0.27;0.41
July;-0.22;0.38;-0.01;0.18;0.30;0.32
August;-0.50;0.45;-0.28;0.15;0.22;0.33
September;0.78;0.15;0.10;0.03;0.33;0.37
October;0.81;0.67;0.63;0.24;0.33;0.23
November;1.10;1.26;1.15;0.53;0.54;0.26
December;-0.03;0.76;0.58;0.50;0.31;-0.03
year 1968;;;;;;
January;0.82;0.77;0.94;0.89;0.56;0.28
February;-1.71;-0.25;0.43;0.47;0.14;0.12
March;-0.62;-0.47;0.05;0.02;0.02;-0.07
April;0.73;-1.10;-0.02;0.18;0.21;0.10
May;-0.73;-0.53;-0.44;0.11;0.17;0.03
June;-0.50;-0.36;-0.55;-0.10;-0.12;0.07
July;-0.18;-1.19;-1.42;-0.30;-0.12;0.09
August;0.20;-0.66;-0.73;-0.57;-0.05;0.08
September;-0.63;-0.58;-0.73;-0.78;-0.28;0.01
October;0.66;0.08;-0.64;-1.15;-0.30;-0.02
November;-0.99;-0.51;-0.77;-0.91;-0.71;-0.12
December;-0.72;-0.78;-0.90;-0.97;-0.88;-0.45
year 1969;;;;;;
January;-1.72;-1.85;-1.60;-1.84;-1.89;-0.78
February;-1.23;-1.78;-2.02;-2.03;-2.01;-1.11
March;0.03;-1.40;-1.55;-1.76;-1.82;-1.07
April;0.32;-0.69;-1.63;-1.63;-1.84;-0.97
May;-0.34;-0.20;-1.42;-1.70;-1.73;-0.95
June;0.55;0.03;-1.10;-1.35;-1.54;-1.06
July;-0.57;-0.32;-0.75;-1.59;-1.61;-1.08
August;0.32;0.06;-0.18;-1.28;-1.58;-1.02
September;-0.22;-0.38;-0.32;-1.25;-1.41;-1.12
October;0.50;0.15;-0.18;-0.61;-1.39;-1.18
November;1.13;0.71;0.53;0.23;-0.82;-1.15
December;-0.96;0.07;-0.16;-0.18;-0.84;-1.37
year 1970;;;;;;
January;1.77;0.97;0.87;0.61;0.14;-1.12
February;2.28;1.57;1.82;1.63;1.32;-0.21
March;0.05;1.94;1.65;1.46;1.33;-0.11
April;0.37;1.59;1.52;1.52;1.29;-0.14
May;-0.14;-0.08;1.19;1.42;1.28;-0.09
June;0.63;0.20;1.63;1.46;1.29;0.01
July;-0.16;-0.03;1.24;1.33;1.34;0.01
August;1.51;1.00;0.38;1.26;1.50;0.15
September;0.61;0.88;0.63;1.76;1.54;0.27
October;0.62;1.11;0.78;1.47;1.49;0.27
November;0.60;0.79;1.02;0.66;1.32;0.45
December;0.07;0.45;0.71;0.62;1.48;0.58
year 1971;;;;;;
January;-1.35;-0.44;0.19;0.10;0.86;0.64
February;-1.60;-1.25;-0.70;-0.33;-0.37;0.63
March;1.22;-0.63;-0.25;0.02;0.02;0.86
April;0.64;0.11;-0.27;0.15;0.08;0.88
May;0.02;0.95;-0.43;-0.13;0.10;0.90
June;1.42;0.92;-0.13;0.07;0.28;1.01
July;0.41;0.83;0.41;-0.02;0.34;1.06
August;-0.53;0.85;1.02;-0.20;0.06;1.01
September;0.13;-0.14;0.49;-0.25;-0.03;1.02
October;0.09;-0.23;0.28;0.18;-0.14;0.96
November;-0.66;-0.44;0.03;0.53;-0.36;0.72
December;0.13;-0.35;-0.38;0.06;-0.33;0.89
year 1972;;;;;;
January;0.63;0.11;-0.10;0.18;0.14;0.65
February;0.74;0.60;0.29;0.46;0.75;0.23
March;-1.08;0.28;-0.01;-0.13;0.16;0.08
April;0.72;0.17;0.13;-0.04;0.17;0.13
May;0.16;-0.42;0.28;0.03;0.19;0.16
June;-1.19;-0.13;0.13;-0.09;-0.19;0.03
July;1.80;0.50;0.29;0.21;0.06;0.23
August;1.23;1.15;0.25;0.50;0.28;0.19
September;0.63;1.48;0.92;0.63;0.37;0.19
October;1.02;1.24;1.15;0.77;0.56;0.26
November;0.33;0.90;1.19;0.64;0.69;0.22
December;-1.77;-0.46;0.48;0.30;0.30;-0.08
Year 1973;;;;;;
January;-1.01;-1.40;-0.42;-0.23;-0.12;-0.04
February;-1.09;-1.89;-1.09;-0.59;-0.74;0.02
March;-0.60;-1.31;-1.28;-0.58;-0.65;-0.32
April;0.57;-0.87;-1.46;-0.83;-0.65;-0.32
May;-0.21;-0.43;-1.62;-1.09;-0.68;-0.33
June;0.22;0.06;-1.03;-1.12;-0.53;-0.50
July;1.09;0.26;-0.60;-1.24;-0.72;-0.43
August;-0.54;0.27;-0.24;-1.39;-0.97;-0.43
September;-0.26;0.01;-0.07;-1.04;-1.09;-0.45
October;0.31;-0.27;-0.15;-0.69;-1.25;-0.42
November;0.26;0.03;0.08;-0.24;-1.19;-0.29
December;0.38;0.36;0.22;0.15;-0.58;-0.25
year 1974;;;;;;
January;0.63;0.55;0.29;0.28;-0.19;-0.26
February;-1.37;-0.05;-0.12;-0.08;-0.29;-0.68
March;0.33;-0.12;0.07;-0.01;-0.05;-0.46
April;-0.55;-0.85;-0.07;-0.25;-0.21;-0.58
May;-1.24;-0.52;-0.28;-0.35;-0.29;-0.66
June;1.72;0.36;-0.01;0.13;0.06;-0.33
July;-1.04;0.43;-0.49;0.01;-0.15;-0.58
August;-0.38;0.86;0.01;-0.07;-0.14;-0.72
September;-0.38;-0.98;-0.35;-0.33;-0.13;-0.82
October;0.63;-0.03;0.13;-0.49;-0.05;-0.90
November;-0.60;-0.26;0.16;-0.22;-0.19;-1.01
December;0.82;0.54;0.04;0.12;-0.03;-0.51
year 1975;;;;;;
January;-0.29;0.09;-0.02;0.08;-0.34;-0.41
February;0.60;0.50;0.27;0.45;0.16;-0.11
March;-2.74;-0.52;-0.12;-0.44;-0.34;-0.27
April;-0.36;-0.66;-0.32;-0.41;-0.30;-0.36
May;-0.60;-2.24;-0.27;-0.46;-0.24;-0.38
June;-1.11;-1.35;-0.89;-0.47;-0.75;-0.47
July;0.72;-0.78;-0.91;-0.52;-0.61;-0.51
August;-1.00;-1.01;-2.14;-0.46;-0.66;-0.53
September;-1.14;-0.83;-1.61;-1.18;-0.68;-0.57
October;1.16;0.09;-0.46;-0.76;-0.49;-0.41
November;1.07;0.87;0.34;-0.72;-0.11;-0.27
December;0.23;1.10;0.54;0.00;-0.31;-0.32
Year 1976;;;;;;
January;-0.51;0.23;0.17;-0.14;-0.43;-0.57
February;1.14;0.39;0.76;0.45;-0.27;-0.10
March;-0.06;0.27;0.79;0.51;0.11;-0.17
April;0.52;0.75;0.54;0.50;0.24;-0.06
May;1.39;0.76;0.58;0.87;0.61;0.23
June;0.92;1.33;0.72;1.09;0.85;0.10
July;1.17;1.61;1.28;0.96;0.93;0.23
August;1.98;1.97;1.45;1.01;1.30;0.47
September;1.19;1.83;2.02;1.30;1.54;0.65
October;-0.93;1.01;1.68;1.46;1.13;0.47
November;-2.12;-0.86;0.54;0.75;0.63;0.34
December;1.87;0.58;1.38;1.65;1.17;0.65
Year 1977;;;;;;
January;0.51;1.00;1.33;1.71;1.56;0.82
February;-1.53;0.83;0.36;0.95;1.07;0.52
March;0.22;-0.28;0.08;0.78;1.15;0.78
April;2.14;0.27;0.79;1.10;1.46;1.10
May;1.00;1.49;1.24;0.93;1.33;1.24
June;-1.09;1.41;0.36;0.54;1.11;1.24
July;-0.41;0.01;0.15;0.67;0.96;1.18
August;-0.15;-1.41;0.79;0.93;0.63;1.21
September;0.74;0.18;1.05;0.33;0.50;1.33
October;-0.59;-0.14;-0.22;0.00;0.52;1.11
November;-1.45;-0.81;-1.29;0.16;0.57;0.81
December;-0.21;-1.26;-0.90;-0.03;-0.20;0.71
year 1978;;;;;;
January;-2.24;-1.95;-1.82;-1.61;-1.00;0.50
February;-0.61;-1.43;-1.90;-2.10;-0.91;0.16
March;-0.34;-1.57;-1.98;-1.88;-1.09;0.12
April;-1.30;-1.02;-1.90;-1.98;-1.84;-0.01
May;0.41;-0.62;-1.39;-1.81;-1.97;-0.17
June;0.49;-0.19;-1.33;-1.79;-1.72;-0.23
July;1.48;0.94;-0.30;-1.31;-1.43;-0.19
August;-1.00;0.63;-0.18;-1.08;-1.50;-0.47
September;-0.29;0.16;-0.14;-1.26;-1.65;-0.67
October;-1.01;-1.43;-0.29;-0.88;-1.64;-0.67
November;0.91;-0.18;0.09;-0.32;-1.03;-0.30
