Standardized Precipitation Index - SPI: Campinas in the period from 01/01/1947 to 05/01/2011;;;;;;
December;0.11;-0.01;0.01;-0.13;-0.88;-0.87
Year 1979;;;;;;
January;-1.43;-0.29;-0.97;-0.46;-0.83;-1.29
February;0.71;-0.22;-0.41;-0.22;-0.48;-0.91
March;-0.13;-0.35;-0.32;-0.33;-0.43;-0.97
April;0.75;0.50;0.06;-0.44;-0.14;-1.23
May;1.13;0.64;0.08;-0.08;0.04;-1.18
June;-1.15;0.59;-0.08;-0.12;-0.14;-1.17
July;0.62;0.48;0.53;0.15;-0.31;-1.11
August;1.23;0.34;0.57;0.11;-0.03;-0.96
September;0.58;0.93;0.91;0.20;0.13;-0.95
October;0.43;0.86;0.83;0.77;0.36;-0.80
November;-0.02;0.33;0.35;0.55;0.17;-0.62
December;0.11;0.09;0.49;0.59;0.16;-0.57
year 1980;;;;;;
January;-0.17;-0.14;0.27;0.35;0.45;-0.26
February;-0.45;-0.29;-0.18;-0.11;0.12;-0.25
March;-0.58;-0.59;-0.44;-0.13;0.02;-0.28
April;1.36;-0.11;-0.20;0.09;0.17;-0.01
May;-0.91;-0.11;-0.31;-0.24;-0.18;-0.12
June;0.87;0.72;-0.19;-0.16;0.08;-0.07
July;-0.73;-0.30;-0.28;-0.30;-0.04;-0.25
August;0.29;0.30;0.00;-0.25;-0.19;-0.17
September;-0.13;-0.37;0.22;-0.38;-0.30;-0.15
October;-1.02;-0.81;-0.91;-0.64;-0.55;-0.15
November;-0.92;-1.38;-0.95;-0.80;-0.67;-0.39
December;0.81;-0.26;-0.41;-0.07;-0.39;-0.23
year 1981;;;;;;
January;-0.15;0.07;-0.39;-0.50;-0.45;-0.03
February;-1.53;-0.20;-0.95;-0.80;-0.79;-0.44
March;0.00;-0.75;-0.77;-0.94;-0.65;-0.41
April;-0.19;-1.05;-0.52;-0.89;-0.95;-0.50
May;-1.24;-0.67;-0.46;-1.08;-0.94;-0.74
June;0.75;-0.36;-0.78;-0.82;-0.97;-0.58
July;-0.69;-0.50;-1.11;-0.64;-0.99;-0.66
August;-0.52;-0.17;-0.63;-0.49;-1.08;-0.82
September;-1.28;-1.65;-1.22;-1.22;-1.13;-0.96
October;1.31;0.30;-0.15;-0.80;-0.52;-0.79
November;0.59;0.67;0.42;-0.09;-0.21;-0.67
December;-0.21;0.67;0.02;-0.18;-0.55;-0.77
year 1982;;;;;;
January;1.15;0.66;0.66;0.37;-0.18;-0.48
February;-0.46;0.22;0.49;0.35;0.02;-0.51
March;0.64;0.58;0.78;0.39;0.21;-0.29
April;1.05;0.35;0.59;0.62;0.41;-0.33
May;0.65;0.97;0.55;0.76;0.63;-0.17
June;2.09;1.83;1.18;1.29;0.96;0.05
July;0.43;1.65;1.03;1.01;1.06;0.11
August;0.20;1.69;1.44;0.90;1.11;0.11
September;-1.40;-0.57;1.09;0.94;1.05;0.03
October;1.26;0.42;1.32;0.98;0.99;0.35
November;-0.43;0.09;0.93;1.15;0.78;0.39
December;0.91;1.03;0.54;1.25;1.07;0.40
year 1983;;;;;;
January;0.48;0.60;0.66;1.19;0.99;0.54
February;0.44;0.79;0.73;1.15;1.33;0.86
March;1.06;0.78;1.13;0.90;1.46;1.05
April;1.86;1.37;1.15;1.23;1.59;1.29
May;2.44;2.60;1.79;1.82;2.02;1.74
June;2.11;3.19;2.03;2.21;2.02;1.93
July;0.56;2.81;2.41;1.97;2.08;2.00
August;-0.96;1.49;2.54;1.91;1.99;1.97
September;2.26;1.58;3.16;2.38;2.44;2.31
October;0.47;1.52;2.90;2.63;2.19;2.20
November;-0.23;1.45;1.78;2.74;2.11;2.07
December;0.75;0.54;1.19;2.52;2.00;2.25
year 1984;;;;;;
January;-0.23;0.19;0.96;2.07;2.11;2.08
February;-1.88;-0.37;0.46;0.84;1.91;2.04
March;-0.28;-1.04;-0.46;0.18;1.60;1.89
April;0.61;-1.05;-0.44;0.21;1.28;1.81
May;1.23;0.56;-0.06;0.55;0.85;1.86
June;-1.25;0.57;-0.59;-0.24;0.29;1.54
July;-0.65;0.16;-0.79;-0.39;0.19;1.50
August;1.91;0.46;0.56;0.02;0.58;1.66
September;1.21;1.40;1.24;-0.01;0.20;1.82
October;-1.77;0.75;0.57;-0.30;-0.13;1.52
November;-0.25;-0.29;-0.08;0.21;-0.13;1.51
December;0.43;-0.56;0.36;0.48;-0.23;1.41
year 1985;;;;;;
January;-1.11;-0.45;-0.04;-0.04;-0.51;1.21
February;-0.57;-0.53;-0.77;-0.59;-0.30;1.09
March;0.85;-0.41;-0.68;-0.11;0.03;1.04
April;0.17;0.10;-0.28;-0.03;-0.04;0.80
May;0.73;0.80;-0.06;-0.26;-0.17;0.44
June;0.10;0.33;-0.24;-0.51;-0.04;0.13
July;-0.59;0.15;0.07;-0.25;-0.04;0.07
August;-0.55;-0.83;0.31;-0.24;-0.43;0.09
September;1.10;0.35;0.34;-0.19;-0.43;-0.18
October;-1.40;-0.30;-0.25;-0.14;-0.37;-0.39
November;-0.91;-0.62;-0.93;-0.17;-0.45;-0.46
December;-0.31;-1.44;-0.93;-0.67;-0.67;-0.74
year 1986;;;;;;
January;-0.89;-1.11;-1.23;-1.05;-0.73;-0.89
February;0.67;-0.28;-0.69;-0.86;-0.41;-0.49
March;0.95;0.29;-0.52;-0.46;-0.37;-0.24
April;0.12;0.82;-0.19;-0.38;-0.36;-0.28
May;0.83;0.90;0.17;-0.14;-0.32;-0.35
June;-1.25;-0.02;0.19;-0.50;-0.45;-0.35
July;1.33;0.58;0.83;-0.04;-0.21;-0.19
August;3.02;2.14;1.65;0.74;0.49;0.03
September;-0.42;1.85;1.31;0.87;0.20;-0.18
October;-0.75;1.03;1.03;1.10;0.27;-0.10
November;-0.21;-0.93;0.63;0.90;0.36;-0.09
December;1.17;0.44;1.30;1.06;0.79;0.09
year 1987;;;;;;
January;0.61;0.91;1.26;1.23;1.24;0.40
February;0.03;0.84;0.34;1.02;1.19;0.52
March;0.03;0.24;0.39;1.07;0.95;0.37
April;-0.38;-0.21;0.48;0.81;0.85;0.32
May;2.22;1.18;1.10;0.75;1.24;0.62
June;1.47;1.98;1.02;1.05;1.57;0.79
July;-0.33;2.14;0.99;1.13;1.43;0.81
August;-0.68;0.62;1.10;1.09;0.80;0.80
September;0.59;-0.09;1.39;0.89;0.90;0.70
October;-0.41;-0.29;1.33;0.68;0.91;0.78
November;-0.23;-0.24;0.05;0.69;0.87;0.84
December;0.12;-0.40;-0.40;0.67;0.52;0.91
year 1988;;;;;;
January;-0.20;-0.23;-0.44;0.63;0.34;1.04
February;0.49;0.11;-0.11;0.04;0.51;1.06
March;0.78;0.38;0.06;-0.05;0.72;1.02
April;1.23;0.98;0.41;0.23;0.95;1.13
May;1.96;1.88;0.95;0.81;0.84;1.32
June;0.26;1.81;1.03;0.71;0.60;1.40
July;-1.04;1.30;1.29;0.73;0.58;1.27
August;-1.00;-1.01;1.20;0.69;0.56;0.84
September;-1.73;-2.98;0.68;0.58;0.30;0.76
October;0.88;-0.27;0.63;0.96;0.54;0.97
November;-0.73;-0.41;-0.81;0.71;0.45;0.90
December;-1.12;-0.76;-1.34;-0.04;0.16;0.44
year 1989;;;;;;
January;0.80;-0.44;-0.62;0.00;0.46;0.49
February;-0.38;-0.31;-0.62;-0.83;0.24;0.44
March;-1.13;-0.17;-0.59;-1.11;-0.24;0.29
April;0.44;-0.74;-0.74;-0.92;-0.40;0.37
May;-0.47;-0.92;-0.63;-0.89;-1.04;-0.08
June;0.06;-0.22;-0.26;-0.63;-1.08;-0.27
July;1.95;0.70;-0.26;-0.47;-0.64;-0.03
August;0.03;1.08;-0.08;-0.30;-0.55;0.01
September;-0.34;0.75;0.28;-0.05;-0.39;-0.09
October;-1.21;-1.18;-0.37;-0.76;-0.79;-0.16
November;1.02;-0.19;0.35;-0.25;-0.37;0.03
December;-0.07;-0.14;0.22;0.04;-0.10;-0.03
year 1990;;;;;;
January;0.51;0.54;-0.07;0.15;-0.24;0.11
February;-0.46;-0.06;-0.26;0.07;-0.31;-0.07
March;0.90;0.36;0.17;0.35;0.21;-0.04
April;0.44;0.28;0.47;0.05;0.20;-0.15
May;0.36;0.76;0.25;0.10;0.32;-0.45
June;-0.28;0.06;0.27;0.13;0.28;-0.50
July;2.14;1.07;0.65;0.69;0.34;-0.20
August;0.50;1.29;1.09;0.52;0.39;-0.11
September;0.18;1.22;0.81;0.63;0.45;0.02
October;-0.88;-0.44;0.34;0.33;0.47;-0.22
November;-0.52;-0.89;0.03;0.40;0.16;-0.19
December;-1.11;-1.66;-0.46;-0.42;-0.07;-0.20
Year 1991;;;;;;
January;1.48;0.12;-0.19;0.23;0.25;-0.03
February;0.12;0.30;-0.22;0.19;0.43;0.06
March;1.71;1.43;0.47;0.82;0.74;0.57
April;1.41;1.41;0.90;0.69;0.90;0.69
May;-0.10;1.63;0.94;0.59;0.82;0.71
June;0.21;0.66;1.34;0.57;0.87;0.73
July;0.43;-0.07;1.08;0.75;0.57;0.55
August;-1.00;-0.40;1.12;0.76;0.44;0.50
September;0.28;-0.16;0.27;1.19;0.44;0.55
October;-0.29;-0.53;-0.56;0.68;0.51;0.63
November;-0.79;-0.66;-0.79;0.52;0.45;0.39
December;0.81;0.04;-0.10;0.15;0.90;0.58
year 1992;;;;;;
January;-0.84;-0.22;-0.54;-0.55;0.35;0.36
February;-0.99;-0.33;-0.76;-0.83;0.08;0.29
March;0.48;-0.67;-0.52;-0.64;-0.41;0.21
April;-0.02;-0.41;-0.41;-0.68;-0.70;0.16
May;0.89;0.57;-0.03;-0.37;-0.46;0.24
June;-1.25;-0.04;-0.59;-0.51;-0.61;0.19
July;0.28;0.08;-0.35;-0.39;-0.65;-0.04
August;-0.39;-1.18;0.03;-0.25;-0.59;-0.10
September;0.58;0.18;-0.03;-0.57;-0.48;-0.04
October;1.31;0.95;0.69;0.13;-0.06;0.27
November;1.33;1.59;0.96;0.94;0.36;0.53
December;-0.58;0.85;0.67;0.49;-0.05;0.59
Year 1993;;;;;;
January;0.07;0.20;0.61;0.50;0.16;0.29
February;-1.31;-0.84;0.19;-0.11;0.10;0.08
March;-1.31;-1.03;-0.25;-0.26;-0.31;-0.48
April;-0.12;-1.66;-0.67;-0.31;-0.31;-0.67
May;1.41;-0.03;-0.68;0.09;-0.14;-0.42
June;0.51;0.92;-0.40;0.07;0.05;-0.38
July;-1.04;0.90;-0.71;-0.34;-0.04;-0.46
August;0.47;0.04;-0.06;-0.64;0.06;-0.36
September;1.51;0.97;1.15;-0.07;0.31;-0.14
October;-1.75;0.30;0.69;-0.49;-0.25;-0.26
November;-1.33;-0.51;-0.46;-0.41;-0.77;-0.31
December;-2.09;-2.36;-1.54;-0.77;-1.07;-0.87
Year 1994;;;;;;
January;-0.68;-2.13;-1.65;-1.01;-1.50;-0.88
February;-2.19;-2.34;-2.48;-2.21;-1.91;-1.09
March;-0.94;-1.72;-3.21;-2.48;-1.85;-1.32
April;0.63;-1.59;-2.35;-2.14;-1.60;-1.22
May;-1.71;-0.97;-2.21;-2.42;-2.20;-1.44
June;-1.25;-0.94;-1.76;-3.10;-2.48;-1.43
July;0.83;-1.16;-1.82;-2.47;-2.30;-1.38
August;-1.00;-0.96;-1.19;-2.24;-2.49;-1.41
September;-1.59;-0.88;-1.35;-2.05;-3.18;-1.56
October;-1.09;-2.18;-2.48;-2.52;-2.90;-1.99
November;-1.03;-2.04;-2.15;-2.14;-2.68;-2.38
December;0.22;-0.91;-1.12;-1.38;-1.81;-2.20
Year 1995;;;;;;
January;-0.55;-0.60;-1.51;-1.75;-2.04;-2.44
February;-2.04;-0.92;-2.01;-2.10;-2.26;-2.68
March;-2.16;-1.93;-2.00;-2.29;-2.50;-2.74
April;-2.11;-3.33;-1.86;-2.68;-2.82;-2.83
May;0.60;-1.66;-1.38;-2.30;-2.34;-2.99
June;0.06;-0.46;-1.72;-1.90;-2.16;-3.04
July;-0.56;0.02;-2.26;-1.67;-2.42;-3.05
August;-1.00;-1.11;-1.78;-1.52;-2.41;-3.17
September;-0.01;-0.82;-0.95;-1.98;-2.04;-3.43
October;0.15;-0.38;-0.40;-2.02;-1.67;-3.15
November;-1.56;-0.89;-1.26;-1.87;-1.66;-3.12
December;-1.34;-1.71;-1.77;-1.72;-2.14;-3.02
Year 1996;;;;;;
January;-1.09;-2.09;-2.10;-1.83;-2.67;-3.23
February;-1.32;-1.85;-2.32;-2.42;-2.80;-3.24
March;-1.99;-1.91;-2.52;-2.79;-2.79;-3.34
April;0.15;-1.79;-2.44;-2.60;-2.38;-3.37
May;-0.69;-1.62;-2.12;-2.54;-2.60;-3.25
June;-1.25;-1.06;-1.96;-2.56;-2.79;-3.23
July;-1.04;-2.01;-2.28;-2.72;-2.88;-3.41
August;0.28;-1.34;-1.85;-2.24;-2.68;-3.29
September;1.35;0.76;-0.14;-1.47;-2.04;-2.73
October;0.45;1.00;0.02;-1.07;-1.85;-2.48
November;-0.66;0.55;-0.04;-0.85;-1.59;-2.38
December;-2.06;-1.53;-0.72;-1.07;-1.69;-2.93
Year 1997;;;;;;
January;-2.38;-3.69;-1.98;-2.36;-2.59;-3.61
February;-2.38;-5.41;-3.05;-3.14;-3.41;-3.97
March;-2.47;-6.00;-4.12;-3.32;-3.51;-3.96
April;-2.11;-5.13;-4.98;-3.44;-3.71;-3.89
May;-1.71;-3.93;-5.81;-3.71;-3.72;-4.10
June;-1.25;-2.38;-6.50;-4.52;-3.71;-4.22
July;-1.04;-2.38;-5.75;-5.32;-3.80;-4.27
August;-1.00;-2.38;-4.57;-6.08;-4.01;-4.25
September;0.20;-0.71;-2.52;-5.35;-4.39;-4.07
October;-2.38;-2.00;-3.31;-5.11;-5.39;-4.53
November;-2.38;-3.43;-4.19;-5.22;-6.28;-4.65
December;-2.38;-2.38;-5.12;-5.91;-6.85;-5.07
Year 1998;;;;;;
January;-0.53;-3.14;-3.94;-4.37;-5.23;-5.06
February;0.48;-1.16;-2.74;-3.10;-3.94;-4.70
March;0.25;0.02;-2.24;-2.48;-3.14;-4.19
April;-0.10;0.27;-1.58;-2.33;-2.75;-4.16
May;0.75;0.30;-0.74;-1.93;-2.23;-3.83
June;-0.37;0.04;-0.02;-1.91;-2.13;-3.74
July;-0.41;-0.01;0.14;-1.44;-2.14;-3.73
August;-0.30;-1.04;-0.17;-0.91;-2.05;-3.78
September;0.60;0.01;-0.08;-0.09;-1.81;-3.88
October;0.80;0.60;0.35;0.33;-1.08;-3.78
November;-1.54;-0.04;-0.49;-0.23;-0.83;-3.84
December;0.91;0.44;0.28;0.19;0.10;-3.02
Year 1999;;;;;;
January;1.67;1.04;1.15;0.95;0.78;-1.91
February;0.50;1.37;1.27;0.92;0.87;-1.40
March;0.15;1.05;1.04;0.94;0.85;-1.08
April;-0.03;0.25;0.81;0.95;0.82;-0.94
May;0.08;-0.09;1.02;0.95;0.69;-0.81
June;0.70;0.16;0.87;0.91;0.83;-0.64
July;-1.04;-0.01;0.13;0.68;0.82;-0.65
August;-1.00;-0.48;-0.31;0.82;0.77;-0.64
September;0.23;-0.69;-0.39;0.61;0.67;-0.62
October;-1.44;-1.28;-1.02;-0.43;0.29;-0.54
November;-0.81;-1.27;-1.32;-1.02;0.36;-0.34
December;-0.20;-1.31;-1.38;-1.10;0.01;0.01
year 2000;;;;;;
January;0.67;-0.10;-0.73;-0.70;-0.41;0.24
February;0.72;0.46;-0.21;-0.35;-0.39;0.30
March;0.05;0.60;-0.19;-0.45;-0.42;0.27
April;-2.08;0.04;-0.09;-0.56;-0.57;0.18
May;-1.47;-1.17;-0.07;-0.62;-0.71;0.00
June;-1.01;-2.36;-0.10;-0.72;-0.95;-0.03
July;1.43;-0.37;-0.18;-0.21;-0.66;0.13
August;1.00;0.76;-0.42;0.09;-0.41;0.23
September;0.44;1.10;-0.33;0.25;-0.34;0.21
October;-0.84;0.00;-0.33;-0.22;-0.24;-0.01
November;1.71;0.77;0.89;0.11;0.30;0.43
December;0.18;0.59;0.93;0.16;0.40;0.24
year 2001;;;;;;
January;-0.66;0.46;0.32;0.11;0.06;-0.28
February;0.39;-0.09;0.26;0.41;-0.07;-0.32
March;-0.20;-0.26;0.10;0.43;-0.14;-0.38
April;-0.66;-0.15;0.19;0.11;-0.04;-0.42
May;0.78;-0.14;-0.16;0.11;0.24;-0.31
June;-0.41;-0.16;-0.32;-0.01;0.29;-0.42
July;-0.26;0.04;-0.17;0.14;0.06;-0.40
August;0.10;-0.71;-0.44;-0.32;-0.06;-0.33
September;0.36;0.00;-0.23;-0.38;-0.07;-0.30
October;1.65;1.21;0.89;0.42;0.49;0.14
November;-0.49;0.87;0.41;0.16;0.01;0.17
December;0.05;0.62;0.42;0.23;-0.03;0.21
year 2002;;;;;;
January;-0.06;-0.28;0.39;0.29;0.11;0.06
February;-0.65;-0.35;0.09;-0.12;-0.21;-0.21
March;-0.16;-0.46;-0.02;-0.10;-0.21;-0.24
April;-0.85;-0.86;-0.69;-0.18;-0.21;-0.19
May;0.87;-0.10;-0.35;-0.01;-0.17;0.02
June;-1.25;-0.39;-0.55;-0.17;-0.24;0.01
July;-0.59;-0.21;-0.83;-0.72;-0.27;-0.16
August;0.98;-0.46;-0.31;-0.44;-0.14;-0.16
September;-0.06;0.11;-0.31;-0.57;-0.19;-0.21
October;-1.21;-0.47;-0.61;-0.98;-0.85;-0.24
November;1.25;0.10;-0.18;-0.25;-0.39;-0.32
December;-0.35;-0.18;-0.15;-0.34;-0.49;-0.46
Year 2003;;;;;;
January;1.41;1.02;0.66;0.46;-0.05;-0.01
February;0.38;0.63;0.57;0.37;0.23;-0.02
March;-0.68;0.62;0.36;0.31;0.12;-0.08
April;0.26;-0.12;0.61;0.38;0.25;0.00
May;0.12;-0.49;0.28;0.24;0.10;-0.08
June;-0.72;-0.34;0.35;0.18;0.13;-0.10
July;0.16;-0.50;-0.36;0.40;0.19;-0.08
August;-0.16;-0.83;-0.76;0.08;0.04;-0.09
September;-1.74;-1.05;-0.97;0.03;-0.09;-0.22
October;-0.33;-1.14;-1.29;-0.84;0.04;-0.58
November;1.15;-0.01;-0.40;-0.63;0.02;-0.31
December;0.88;0.96;0.37;0.13;0.39;-0.12
Year 2004;;;;;;
January;-0.54;0.68;0.09;-0.14;-0.20;-0.22
February;-0.27;0.09;-0.02;-0.24;-0.45;-0.16
March;-0.80;-0.33;0.38;0.04;-0.17;0.11
April;-0.20;-0.35;0.38;0.01;-0.19;0.15
May;0.76;-0.12;0.20;0.19;0.01;0.18
June;0.54;0.44;-0.08;0.40;0.14;0.27
July;1.36;1.16;0.26;0.59;0.33;0.41
August;-0.65;0.62;0.14;0.28;0.28;0.31
August;1.36;1.16;0.26;0.59;0.33;0.41
September;-0.68;0.03;0.24;-0.16;0.34;0.28
October;0.60;-0.40;0.51;0.05;0.44;0.42
November;0.01;-0.06;0.22;0.01;0.21;0.24
December;-0.12;0.03;0.02;0.16;-0.07;0.24
Year 2005;;;;;;
January;1.89;1.01;0.74;0.95;0.50;0.34
February;-0.63;-0.75;-0.65;0.68;0.43;0.17
March;1.80;1.28;1.20;1.14;1.09;0.54
April;-0.35;0.63;0.98;0.87;1.02;0.50
May;1.18;1.42;1.08;1.13;1.08;0.65
June;0.29;0.62;1.12;1.08;1.04;0.70
July;0.79;1.10;0.83;1.04;0.98;0.74
August;-0.13;0.19;1.13;0.98;1.02;0.74
September;-0.13;0.04;0.39;1.07;0.99;0.78
October;1.29;0.66;0.99;0.88;1.06;0.93
November;-1.56;0.00;0.04;0.91;0.87;0.68
December;-0.57;-0.37;-0.23;0.07;0.72;0.43
Year 2006;;;;;;
January;0.20;-0.62;-0.30;0.18;0.37;0.52
February;0.43;0.08;-0.04;-0.01;0.66;0.61
March;0.93;0.55;0.32;0.25;0.39;0.82
April;-0.77;0.47;-0.11;0.04;0.34;0.78
May;-1.34;-0.10;-0.02;-0.13;-0.09;0.60
June;-0.20;-1.37;0.07;-0.09;-0.15;0.54
July;0.30;-1.19;0.00;-0.34;-0.24;0.45
August;-0.22;-0.61;-0.29;-0.12;-0.24;0.47
September;0.22;-0.07;-1.12;-0.03;-0.15;0.52
October;-0.74;-0.79;-1.19;-0.29;-0.49;0.40
November;0.98;0.17;-0.18;-0.23;-0.09;0.49
December;0.39;0.30;0.17;-0.35;0.08;0.54
Year 2007;;;;;;
January;1.50;1.27;0.90;0.40;0.44;0.48
February;-0.80;0.68;0.71;0.44;0.25;0.50
March;0.81;0.72;0.78;0.68;0.21;0.32
April;0.78;0.25;0.96;0.77;0.40;0.40
May;0.09;0.64;0.69;0.74;0.54;0.24
June;0.09;0.64;0.69;0.74;0.54;0.24
July;2.10;1.16;0.63;1.04;0.92;0.41
August;-0.63;1.20;0.88;0.82;0.89;0.39
September;-1.61;0.64;0.46;0.68;0.71;0.32
October;0.05;-1.20;0.20;0.22;0.76;0.17
November;0.79;-0.12;0.55;0.65;0.70;0.36
December;-0.50;-0.11;0.23;0.23;0.48;0.35
year 2008;;;;;;
January;-0.38;-0.15;-0.70;-0.06;0.04;0.28
February;0.91;0.08;-0.10;0.29;0.46;0.38
March;0.68;0.44;0.33;0.46;0.43;0.34
April;1.23;1.04;0.54;0.21;0.50;0.50
May;-0.12;0.78;0.37;0.28;0.50;0.59
June;0.56;0.72;0.55;0.46;0.56;0.65
July;-0.92;-0.43;0.70;0.39;0.10;0.59
August;0.63;-0.44;-0.30;-0.49;-0.38;0.02
September;-0.35;-0.22;0.36;0.43;0.35;0.61
October;0.15;0.14;-0.20;0.62;0.36;0.69
November;-0.41;-0.53;-0.28;0.29;0.19;0.55
Year 2009;;;;;;
January;-0.20;-0.78;-0.71;-0.90;-0.04;-0.53
February;0.11;-0.32;-0.89;-0.74;-0.30;-0.23
March;0.11;-0.32;-0.89;-0.74;-0.30;-0.23
May;-0.55;-1.61;-1.11;-1.52;-1.32;-0.95
June;0.59;-0.41;-0.86;-1.12;-1.23;-0.83
July;1.78;1.21;0.63;-0.02;0.13;0.08
August;1.05;0.39;-0.66;-0.92;-0.95;-1.24
September;0.80;1.10;-0.60;-0.60;-1.00;-1.00
October;-0.61;0.67;0.64;-0.26;-0.61;-0.55
November;1.77;1.59;1.76;0.52;0.10;-0.27
December;2.24;1.99;2.43;20.30;0.88;0.56
year 2010;;;;;;
January;0.66;2.32;2.26;2.08;1.34;0.98
February;-1.46;0.93;1.62;1.80;1.06;0.55
March;0.09;-0.27;1.05;1.63;1.49;0.45
April;-0.05;-1.13;1.20;1.40;1.30;0.07
May;-0.95;-0.49;0.38;1.00;1.20;-0.02
July;0.64;-0.70;-1.31;0.79;0.98;0.04
September;0.20;0.01;-0.86;-0.71;0.42;-0.06
October;-0.68;-1.08;-1.28;-1.62;0.41;-0.21
November;-0.37;-0.95;-1.10;-1.46;-0.26;-0.18
December;-0.12;-0.83;-0.82;-1.39;-1.17;-0.16
year 2011;;;;;;
January;1.21;0.75;0.13;-0.19;-0.86;0.43
February;-0.04;0.83;0.24;-0.01;-0.40;0.48
March;0.12;0.69;0.22;0.10;-0.38;0.85
April;0.68;0.10;0.60;0.15;-0.12;-0.96
May;-0.39;0.06;0.58;0.15;-0.03;0.93